Pomurska	1145	30928	3626	58	486	23	26	58	3530	97	27	62	55	
Podravska	1195	2752	103661	551	5495	105	225	192	10568	396	65	214	675	
Koroška	1177	51	1307	21687	1919	12	24	50	1904	69	5	15	286	
Savinjska	1149	273	4436	897	85590	609	919	307	12760	533	82	195	359	
Zasavska	1141	32	268	23	1260	10891	266	343	9665	269	75	66	76	
Posavska	1189	17	447	30	1175	250	19838	4134	4228	170	44	107	79	
Jugovzhodna Slovenija	1238	34	527	40	327	117	1101	45455	12605	377	270	170	281	
Osrednjeslovenska	1370	427	2600	312	2560	1585	740	3101	214713	8395	862	1579	1594	
Gorenjska	1209	79	719	86	563	149	90	371	23428	62953	98	657	324	
Primorsko-notranjska	1109	15	188	14	283	16	168	230	5664	131	13154	698	1954	
Goriška	1178	28	478	26	247	47	45	85	4848	616	470	39670	1157	
Obalno-kraška	1223	47	534	63	447	59	86	162	6372	318	670	1291	37604	
